provincia,partido,localidad,población,adsl,cablemódem,dial_up,fibra_óptica,satelital,wireless,telefonía_fija,3g,4g,link,latitud,longitud
CORDOBA,Ischilín,Villa Quilino,1003,--,--,--,SI,--,--,--,SI,SI,14049130,-30,-64
CORDOBA,Juárez Celman,Alejandro Roca (Est. Alejandro),5298,SI,--,--,--,--,SI,SI,SI,SI,14056010,-33,-63
CORDOBA,Juárez Celman,Assunta,73,--,--,--,--,--,--,--,--,--,14056020,-33,-63
CORDOBA,Juárez Celman,Bengolea,915,--,--,--,SI,--,--,SI,SI,SI,14056030,-33,-63
CORDOBA,Juárez Celman,Carnerillo,1867,SI,--,--,SI,SI,SI,SI,SI,SI,14056040,-32,-64
CORDOBA,Juárez Celman,Charras,1088,--,--,--,SI,--,SI,SI,SI,SI,14056050,-33,-64
CORDOBA,Juárez Celman,El Rastreador,85,--,--,--,--,--,--,--,--,--,14056060,-33,-63
CORDOBA,Juárez Celman,General Cabrera,11734,SI,--,--,SI,--,--,SI,SI,SI,14056070,-32,-63
CORDOBA,Juárez Celman,General Deheza,11061,SI,SI,--,SI,--,--,SI,SI,SI,14056080,-32,-63
CORDOBA,Juárez Celman,Huanchillas,1131,--,--,--,SI,--,--,SI,--,SI,14056090,-33,-63
CORDOBA,Juárez Celman,La Carlota,12537,SI,--,--,--,--,--,SI,SI,SI,14056100,-33,-63
CORDOBA,Juárez Celman,Los Cisnes,559,--,--,--,SI,--,SI,SI,--,SI,14056110,-33,-63
CORDOBA,Juárez Celman,Olaeta,619,--,SI,--,--,--,--,SI,--,SI,14056120,-33,-63
CORDOBA,Juárez Celman,Pacheco de Melo,60,--,--,--,--,--,--,--,--,--,14056130,-33,-63
CORDOBA,Juárez Celman,Paso del Durazno,12,--,--,--,--,--,--,--,--,--,14056140,-33,-64
CORDOBA,Juárez Celman,Santa Eufemia,2401,--,SI,--,--,SI,SI,SI,SI,SI,14056150,-33,-63
CORDOBA,Juárez Celman,Ucacha,5136,SI,SI,--,SI,--,SI,SI,SI,SI,14056160,-33,-63
CORDOBA,Juárez Celman,Villa Reducción,1732,--,--,--,--,--,SI,SI,SI,SI,14056170,-33,-63
FORMOSA,Pirané,Palo Santo,6379,--,SI,--,--,SI,SI,SI,SI,--,34056030,-25,-59
