año,trimestre,provincia,accesos_tv_por_suscripción_por_cada_100_hab,accesos_tv_por_suscripción_por_cada_100_hogares
2016,1,Neuquén,17,59
2016,1,Río Negro,7,25
2016,1,Salta,12,52
2016,1,San Juan,5,22
2016,1,San Luis,11,39
2016,1,Santa Cruz,16,55
2016,1,Santa Fe,17,56
2016,1,Santiago del Estero,10,42
2016,1,Tierra del Fuego,24,83
2016,1,Tucumán,8,32
2015,4,Buenos Aires,15,49
2015,4,Capital Federal,23,61
2015,4,Catamarca,7,29
2015,4,Chaco,7,29
2015,4,Chubut,12,39
2015,4,Córdoba,27,91
2015,4,Corrientes,8,33
2015,4,Entre Ríos,11,39
2015,4,Formosa,8,31
2015,4,Jujuy,11,46
2015,4,La Pampa,25,77
2015,4,La Rioja,6,25
2015,4,Mendoza,6,22
2015,4,Misiones,10,36
2015,4,Neuquén,17,60
2015,4,Río Negro,8,26
2015,4,Salta,12,53
2015,4,San Juan,5,23
2015,4,San Luis,11,40
2015,4,Santa Cruz,17,57
2015,4,Santa Fe,18,57
2015,4,Santiago del Estero,10,43
2015,4,Tierra del Fuego,24,83
2015,4,Tucumán,7,31
2015,3,Buenos Aires,15,49
2015,3,Capital Federal,23,61
2015,3,Catamarca,7,28
2015,3,Chaco,8,30
2015,3,Chubut,12,39
2015,3,Córdoba,27,90
2015,3,Corrientes,8,32
2015,3,Entre Ríos,11,38
2015,3,Formosa,8,31
2015,3,Jujuy,11,46
2015,3,La Pampa,25,76
2015,3,La Rioja,7,26
2015,3,Mendoza,6,22
2015,3,Misiones,9,36
2015,3,Neuquén,17,60
2015,3,Río Negro,8,26
2015,3,Salta,12,52
2015,3,San Juan,5,23
2015,3,San Luis,11,40
2015,3,Santa Cruz,17,57
2015,3,Santa Fe,18,57
2015,3,Santiago del Estero,10,43
2015,3,Tierra del Fuego,24,82
2015,3,Tucumán,7,31
2015,2,Buenos Aires,15,49
2015,2,Capital Federal,22,59
2015,2,Catamarca,7,28
2015,2,Chaco,7,29
2015,2,Chubut,12,39
2015,2,Córdoba,27,89
2015,2,Corrientes,8,32
2015,2,Entre Ríos,11,38
2015,2,Formosa,8,31
2015,2,Jujuy,11,44
2015,2,La Pampa,24,73
2015,2,La Rioja,6,25
2015,2,Mendoza,6,22
2015,2,Misiones,9,35
2015,2,Neuquén,17,60
2015,2,Río Negro,8,27
2015,2,Salta,12,52
2015,2,San Juan,5,23
2015,2,San Luis,11,40
2015,2,Santa Cruz,16,56
2015,2,Santa Fe,18,57
2015,2,Santiago del Estero,10,42
2015,2,Tierra del Fuego,23,80
2015,2,Tucumán,7,30
2015,1,Buenos Aires,15,49
2015,1,Capital Federal,22,59
2015,1,Catamarca,7,27
2015,1,Chaco,8,30
2015,1,Chubut,12,39
2015,1,Córdoba,27,89
2015,1,Corrientes,8,32
2015,1,Entre Ríos,11,38
2015,1,Formosa,7,31
2015,1,Jujuy,11,43
2015,1,La Pampa,23,71
2015,1,La Rioja,6,26
2015,1,Mendoza,6,22
2015,1,Misiones,9,35
2015,1,Neuquén,17,60
2015,1,Río Negro,8,26
2015,1,Salta,12,52
2015,1,San Juan,5,23
2015,1,San Luis,11,40
2015,1,Santa Cruz,17,57
2015,1,Santa Fe,17,56
2015,1,Santiago del Estero,10,42
2015,1,Tierra del Fuego,23,78
2015,1,Tucumán,7,30
